session_id,condition,n_trials,accept_rate,reject_rate,defer_rate,mean_confidence,mean_response_time,reference_alignment_rate,mean_calibration_error
13313f9a-3141-4d77-b28b-b8620f18e479,baseline,3,0.6666666666666666,0.0,0.3333333333333333,78.0,44.85464937538878,0.6666666666666666,0.48
13313f9a-3141-4d77-b28b-b8620f18e479,peakaboo,3,0.6666666666666666,0.0,0.3333333333333333,71.66666666666667,34.21391189033415,0.6666666666666666,0.2833333333333333
13313f9a-3141-4d77-b28b-b8620f18e479,peakaboo_recommendation,3,1.0,0.0,0.0,67.33333333333333,37.379858613468286,1.0,0.32666666666666666
2b53b17c-752c-4187-8d1c-f380458444c5,baseline,3,0.6666666666666666,0.3333333333333333,0.0,88.33333333333333,25.896858869359722,1.0,0.11666666666666663
2b53b17c-752c-4187-8d1c-f380458444c5,peakaboo,3,0.6666666666666666,0.3333333333333333,0.0,61.666666666666664,30.84855621115747,1.0,0.3833333333333333
2b53b17c-752c-4187-8d1c-f380458444c5,peakaboo_recommendation,3,1.0,0.0,0.0,59.0,38.017909491066554,0.6666666666666666,0.5499999999999999
503410c3-68e7-4660-9086-a79193b23af1,baseline,3,0.3333333333333333,0.6666666666666666,0.0,81.0,40.78871308572413,1.0,0.18999999999999997
503410c3-68e7-4660-9086-a79193b23af1,peakaboo,3,0.3333333333333333,0.6666666666666666,0.0,78.66666666666667,38.324784658787344,1.0,0.21333333333333335
503410c3-68e7-4660-9086-a79193b23af1,peakaboo_recommendation,3,1.0,0.0,0.0,82.0,26.542034565977804,0.3333333333333333,0.6466666666666666
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,baseline,3,0.6666666666666666,0.0,0.3333333333333333,68.33333333333333,33.1318598703466,0.6666666666666666,0.33666666666666667
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,peakaboo,3,0.6666666666666666,0.0,0.3333333333333333,65.0,26.14043984229262,0.6666666666666666,0.31666666666666665
80bacd2f-b280-46ae-9ddb-3fc2a5fec135,peakaboo_recommendation,3,1.0,0.0,0.0,76.0,23.644492139918256,1.0,0.24000000000000002
97a247ad-d7eb-4d30-94cc-83253931b41d,baseline,3,0.6666666666666666,0.3333333333333333,0.0,77.0,37.09934538090615,1.0,0.22999999999999998
97a247ad-d7eb-4d30-94cc-83253931b41d,peakaboo,3,0.6666666666666666,0.3333333333333333,0.0,69.33333333333333,25.657868270506338,1.0,0.3066666666666667
97a247ad-d7eb-4d30-94cc-83253931b41d,peakaboo_recommendation,3,0.6666666666666666,0.3333333333333333,0.0,63.333333333333336,29.83723638316249,1.0,0.3666666666666667
a196a3dd-4f8c-4633-a102-6a695aa976df,baseline,3,0.6666666666666666,0.3333333333333333,0.0,67.33333333333333,40.06694467421655,1.0,0.32666666666666666
